Model,CV_F1_mean,CV_F1_std,Test_Accuracy,Test_F1,Test_Precision,Test_Recall
Gradient Boosting,0.9950542608076856,0.00989147838462907,1.0,1.0,1.0,1.0
Random Forest,0.9861471861471862,0.016966162720576095,0.9811320754716981,0.9723270440251572,0.964622641509434,0.9811320754716981
KNN,0.9861471861471862,0.016966162720576095,1.0,1.0,1.0,1.0
LightGBM,0.9855304512838761,0.019142846705041502,1.0,1.0,1.0,1.0
Logistic Regression,0.9812014469548715,0.015769185562458578,1.0,1.0,1.0,1.0
SVC,0.9769832082295906,0.021293665148323242,0.9811320754716981,0.9805100559817541,0.9815422477440525,0.9811320754716981
XGBoost,0.9718675680320927,0.017961292369249253,0.9811320754716981,0.9816550067133064,0.9834905660377359,0.9811320754716981
